design,profile,batch,posterior_prob,Z_1,Z_2,Z_3,Z_4
Adaptive,26,2,0.00236,"100,000",Prohibit all,1:1 match,Disclose > $200
Adaptive,26,3,0.00144,"100,000",Prohibit all,1:1 match,Disclose > $200
Adaptive,26,4,0.00301,"100,000",Prohibit all,1:1 match,Disclose > $200
Adaptive,26,5,0.00118,"100,000",Prohibit all,1:1 match,Disclose > $200
Adaptive,26,6,6.9e-4,"100,000",Prohibit all,1:1 match,Disclose > $200
Adaptive,26,7,4e-5,"100,000",Prohibit all,1:1 match,Disclose > $200
Adaptive,26,8,2e-5,"100,000",Prohibit all,1:1 match,Disclose > $200
Adaptive,26,9,7e-5,"100,000",Prohibit all,1:1 match,Disclose > $200
Adaptive,26,10,3.7e-4,"100,000",Prohibit all,1:1 match,Disclose > $200
Adaptive,27,0,0.00520833333333333,"$1,000,000",Prohibit all,1:1 match,Disclose > $200
Adaptive,27,1,0.03971,"$1,000,000",Prohibit all,1:1 match,Disclose > $200
Adaptive,27,2,0.00995,"$1,000,000",Prohibit all,1:1 match,Disclose > $200
Adaptive,27,3,0.00953,"$1,000,000",Prohibit all,1:1 match,Disclose > $200
Adaptive,27,4,0.01315,"$1,000,000",Prohibit all,1:1 match,Disclose > $200
Adaptive,27,5,0.01587,"$1,000,000",Prohibit all,1:1 match,Disclose > $200
Adaptive,27,6,0.00438,"$1,000,000",Prohibit all,1:1 match,Disclose > $200
Adaptive,27,7,1.1e-4,"$1,000,000",Prohibit all,1:1 match,Disclose > $200
Adaptive,27,8,7e-5,"$1,000,000",Prohibit all,1:1 match,Disclose > $200
Adaptive,27,9,1.7e-4,"$1,000,000",Prohibit all,1:1 match,Disclose > $200
Adaptive,27,10,7e-5,"$1,000,000",Prohibit all,1:1 match,Disclose > $200
Adaptive,28,0,0.00520833333333333,"$10,000",Prohibit all,1:1 match,Disclose > $200
Adaptive,28,1,5.2e-4,"$10,000",Prohibit all,1:1 match,Disclose > $200
Adaptive,28,2,8.5e-4,"$10,000",Prohibit all,1:1 match,Disclose > $200
Adaptive,28,3,0.0041,"$10,000",Prohibit all,1:1 match,Disclose > $200
Adaptive,28,4,0.02113,"$10,000",Prohibit all,1:1 match,Disclose > $200
Adaptive,28,5,0.01313,"$10,000",Prohibit all,1:1 match,Disclose > $200
Adaptive,28,6,0.0047,"$10,000",Prohibit all,1:1 match,Disclose > $200
Adaptive,28,7,2.9e-4,"$10,000",Prohibit all,1:1 match,Disclose > $200
Adaptive,28,8,1.9e-4,"$10,000",Prohibit all,1:1 match,Disclose > $200
Adaptive,28,9,7e-4,"$10,000",Prohibit all,1:1 match,Disclose > $200
Adaptive,28,10,0.00103,"$10,000",Prohibit all,1:1 match,Disclose > $200
Adaptive,29,0,0.00520833333333333,No limits,"Prohibit candidate;
 allow PAC",1:1 match,Disclose > $200
Adaptive,29,1,8.1e-4,No limits,"Prohibit candidate;
 allow PAC",1:1 match,Disclose > $200
Adaptive,29,2,5.1e-4,No limits,"Prohibit candidate;
 allow PAC",1:1 match,Disclose > $200
