case,design,arm,batch,quantity,value
Case 1: Clear winner,Control-augmented,alt8,1,posterior_prob,0.009
Case 1: Clear winner,Control-augmented,best,2,posterior_prob,0.428
Case 1: Clear winner,Control-augmented,alt1,2,posterior_prob,0.0386
Case 1: Clear winner,Control-augmented,alt2,2,posterior_prob,4e-4
Case 1: Clear winner,Control-augmented,alt3,2,posterior_prob,0.0388
Case 1: Clear winner,Control-augmented,alt4,2,posterior_prob,0.025
Case 1: Clear winner,Control-augmented,alt5,2,posterior_prob,0.0392
Case 1: Clear winner,Control-augmented,alt6,2,posterior_prob,0.0042
Case 1: Clear winner,Control-augmented,alt7,2,posterior_prob,0.4006
Case 1: Clear winner,Control-augmented,alt8,2,posterior_prob,0.0252
Case 1: Clear winner,Control-augmented,best,3,posterior_prob,0.2168
Case 1: Clear winner,Control-augmented,alt1,3,posterior_prob,0.0916
Case 1: Clear winner,Control-augmented,alt2,3,posterior_prob,0.0098
Case 1: Clear winner,Control-augmented,alt3,3,posterior_prob,0.074
Case 1: Clear winner,Control-augmented,alt4,3,posterior_prob,0.0472
Case 1: Clear winner,Control-augmented,alt5,3,posterior_prob,0.172
Case 1: Clear winner,Control-augmented,alt6,3,posterior_prob,0.0142
Case 1: Clear winner,Control-augmented,alt7,3,posterior_prob,0.2786
Case 1: Clear winner,Control-augmented,alt8,3,posterior_prob,0.0958
Case 1: Clear winner,Control-augmented,best,4,posterior_prob,0.2094
Case 1: Clear winner,Control-augmented,alt1,4,posterior_prob,0.0488
Case 1: Clear winner,Control-augmented,alt2,4,posterior_prob,8e-4
Case 1: Clear winner,Control-augmented,alt3,4,posterior_prob,0.0264
Case 1: Clear winner,Control-augmented,alt4,4,posterior_prob,0.0374
Case 1: Clear winner,Control-augmented,alt5,4,posterior_prob,0.082
Case 1: Clear winner,Control-augmented,alt6,4,posterior_prob,0.0182
Case 1: Clear winner,Control-augmented,alt7,4,posterior_prob,0.2592
Case 1: Clear winner,Control-augmented,alt8,4,posterior_prob,0.3178
Case 1: Clear winner,Control-augmented,best,5,posterior_prob,0.4314
Case 1: Clear winner,Control-augmented,alt1,5,posterior_prob,0.017
Case 1: Clear winner,Control-augmented,alt2,5,posterior_prob,2e-4
Case 1: Clear winner,Control-augmented,alt3,5,posterior_prob,0.1486
Case 1: Clear winner,Control-augmented,alt4,5,posterior_prob,0.0212
Case 1: Clear winner,Control-augmented,alt5,5,posterior_prob,0.0224
Case 1: Clear winner,Control-augmented,alt6,5,posterior_prob,0.0094
Case 1: Clear winner,Control-augmented,alt7,5,posterior_prob,0.0878
Case 1: Clear winner,Control-augmented,alt8,5,posterior_prob,0.262
Case 1: Clear winner,Control-augmented,best,6,posterior_prob,0.851
Case 1: Clear winner,Control-augmented,alt1,6,posterior_prob,0.0092
Case 1: Clear winner,Control-augmented,alt2,6,posterior_prob,8e-4
Case 1: Clear winner,Control-augmented,alt3,6,posterior_prob,0.0274
Case 1: Clear winner,Control-augmented,alt4,6,posterior_prob,0.0076
Case 1: Clear winner,Control-augmented,alt5,6,posterior_prob,0.0276
Case 1: Clear winner,Control-augmented,alt6,6,posterior_prob,0.0102
Case 1: Clear winner,Control-augmented,alt7,6,posterior_prob,0.051
Case 1: Clear winner,Control-augmented,alt8,6,posterior_prob,0.0152
Case 1: Clear winner,Control-augmented,best,7,posterior_prob,0.9658
Case 1: Clear winner,Control-augmented,alt1,7,posterior_prob,0.0022
Case 1: Clear winner,Control-augmented,alt2,7,posterior_prob,0
Case 1: Clear winner,Control-augmented,alt3,7,posterior_prob,0.0064
Case 1: Clear winner,Control-augmented,alt4,7,posterior_prob,0.0036
Case 1: Clear winner,Control-augmented,alt5,7,posterior_prob,0.0068
Case 1: Clear winner,Control-augmented,alt6,7,posterior_prob,0.0042
Case 1: Clear winner,Control-augmented,alt7,7,posterior_prob,0.0088
Case 1: Clear winner,Control-augmented,alt8,7,posterior_prob,0.0022
Case 1: Clear winner,Control-augmented,best,8,posterior_prob,0.9404
Case 1: Clear winner,Control-augmented,alt1,8,posterior_prob,0.0152
Case 1: Clear winner,Control-augmented,alt2,8,posterior_prob,0
Case 1: Clear winner,Control-augmented,alt3,8,posterior_prob,0.0082
Case 1: Clear winner,Control-augmented,alt4,8,posterior_prob,0.004
Case 1: Clear winner,Control-augmented,alt5,8,posterior_prob,0.013
Case 1: Clear winner,Control-augmented,alt6,8,posterior_prob,0.0034
Case 1: Clear winner,Control-augmented,alt7,8,posterior_prob,0.0132
Case 1: Clear winner,Control-augmented,alt8,8,posterior_prob,0.0026
Case 1: Clear winner,Control-augmented,best,9,posterior_prob,0.9102
Case 1: Clear winner,Control-augmented,alt1,9,posterior_prob,0.0196
Case 1: Clear winner,Control-augmented,alt2,9,posterior_prob,0
Case 1: Clear winner,Control-augmented,alt3,9,posterior_prob,0.0122
Case 1: Clear winner,Control-augmented,alt4,9,posterior_prob,0.0042
Case 1: Clear winner,Control-augmented,alt5,9,posterior_prob,0.027
Case 1: Clear winner,Control-augmented,alt6,9,posterior_prob,0.0044
Case 1: Clear winner,Control-augmented,alt7,9,posterior_prob,0.0162
