case,design,arm,batch,posterior_prob
Case 2: No clear winner,Thompson sampling,alt2,10,0.1362
Case 2: No clear winner,Thompson sampling,alt3,10,0.0308
Case 2: No clear winner,Thompson sampling,alt4,10,0.066
Case 2: No clear winner,Thompson sampling,alt5,10,0.1852
Case 2: No clear winner,Thompson sampling,alt6,10,0.1092
Case 2: No clear winner,Thompson sampling,alt7,10,0.2424
Case 2: No clear winner,Thompson sampling,alt8,10,0.0664
Case 2: No clear winner,Static,best,0,0.1111111111111111
Case 2: No clear winner,Static,alt1,0,0.1111111111111111
Case 2: No clear winner,Static,alt2,0,0.1111111111111111
Case 2: No clear winner,Static,alt3,0,0.1111111111111111
Case 2: No clear winner,Static,alt4,0,0.1111111111111111
Case 2: No clear winner,Static,alt5,0,0.1111111111111111
Case 2: No clear winner,Static,alt6,0,0.1111111111111111
Case 2: No clear winner,Static,alt7,0,0.1111111111111111
Case 2: No clear winner,Static,alt8,0,0.1111111111111111
Case 2: No clear winner,Static,best,1,0.1812
Case 2: No clear winner,Static,alt1,1,0.01
Case 2: No clear winner,Static,alt2,1,0.216
Case 2: No clear winner,Static,alt3,1,0.0224
Case 2: No clear winner,Static,alt4,1,0.2728
Case 2: No clear winner,Static,alt5,1,0.005
Case 2: No clear winner,Static,alt6,1,0.051
Case 2: No clear winner,Static,alt7,1,0.1834
Case 2: No clear winner,Static,alt8,1,0.0582
Case 2: No clear winner,Static,best,2,0.1222
Case 2: No clear winner,Static,alt1,2,0.0466
Case 2: No clear winner,Static,alt2,2,0.0618
Case 2: No clear winner,Static,alt3,2,0.0186
Case 2: No clear winner,Static,alt4,2,0.333
Case 2: No clear winner,Static,alt5,2,4e-4
Case 2: No clear winner,Static,alt6,2,0.0062
Case 2: No clear winner,Static,alt7,2,0.2256
Case 2: No clear winner,Static,alt8,2,0.1856
Case 2: No clear winner,Static,best,3,0.171
Case 2: No clear winner,Static,alt1,3,0.0254
Case 2: No clear winner,Static,alt2,3,0.0356
Case 2: No clear winner,Static,alt3,3,0.0134
Case 2: No clear winner,Static,alt4,3,0.4244
Case 2: No clear winner,Static,alt5,3,0.0058
Case 2: No clear winner,Static,alt6,3,0.0336
Case 2: No clear winner,Static,alt7,3,0.0968
Case 2: No clear winner,Static,alt8,3,0.194
Case 2: No clear winner,Static,best,4,0.1552
Case 2: No clear winner,Static,alt1,4,0.0242
Case 2: No clear winner,Static,alt2,4,0.0248
Case 2: No clear winner,Static,alt3,4,0.034
Case 2: No clear winner,Static,alt4,4,0.3172
Case 2: No clear winner,Static,alt5,4,0.0188
Case 2: No clear winner,Static,alt6,4,0.0728
Case 2: No clear winner,Static,alt7,4,0.0816
Case 2: No clear winner,Static,alt8,4,0.2714
Case 2: No clear winner,Static,best,5,0.1588
Case 2: No clear winner,Static,alt1,5,0.0162
Case 2: No clear winner,Static,alt2,5,0.0072
Case 2: No clear winner,Static,alt3,5,0.1284
