design,batch,profile,posterior_prob,Z_1,Z_2,Z_3,Z_4
Adaptive,6,19,2.8e-4,"$1,000,000","Prohibit candidate;
 allow PAC",5:1 match,Disclose > $200
Adaptive,7,19,0,"$1,000,000","Prohibit candidate;
 allow PAC",5:1 match,Disclose > $200
Adaptive,8,19,0,"$1,000,000","Prohibit candidate;
 allow PAC",5:1 match,Disclose > $200
Adaptive,9,19,0,"$1,000,000","Prohibit candidate;
 allow PAC",5:1 match,Disclose > $200
Adaptive,10,19,0,"$1,000,000","Prohibit candidate;
 allow PAC",5:1 match,Disclose > $200
Adaptive,0,20,0.005208333333333333,"$10,000","Prohibit candidate;
 allow PAC",5:1 match,Disclose > $200
Adaptive,1,20,8.3e-4,"$10,000","Prohibit candidate;
 allow PAC",5:1 match,Disclose > $200
Adaptive,2,20,2.5e-4,"$10,000","Prohibit candidate;
 allow PAC",5:1 match,Disclose > $200
Adaptive,3,20,0.01586,"$10,000","Prohibit candidate;
 allow PAC",5:1 match,Disclose > $200
Adaptive,4,20,0.00459,"$10,000","Prohibit candidate;
 allow PAC",5:1 match,Disclose > $200
Adaptive,5,20,0.00211,"$10,000","Prohibit candidate;
 allow PAC",5:1 match,Disclose > $200
Adaptive,6,20,1.9e-4,"$10,000","Prohibit candidate;
 allow PAC",5:1 match,Disclose > $200
Adaptive,7,20,0,"$10,000","Prohibit candidate;
 allow PAC",5:1 match,Disclose > $200
Adaptive,8,20,0,"$10,000","Prohibit candidate;
 allow PAC",5:1 match,Disclose > $200
Adaptive,9,20,0,"$10,000","Prohibit candidate;
 allow PAC",5:1 match,Disclose > $200
Adaptive,10,20,1e-5,"$10,000","Prohibit candidate;
 allow PAC",5:1 match,Disclose > $200
Adaptive,0,21,0.005208333333333333,No limits,Allow all,5:1 match,Disclose > $200
Adaptive,1,21,0,No limits,Allow all,5:1 match,Disclose > $200
Adaptive,2,21,0,No limits,Allow all,5:1 match,Disclose > $200
Adaptive,3,21,0,No limits,Allow all,5:1 match,Disclose > $200
Adaptive,4,21,0,No limits,Allow all,5:1 match,Disclose > $200
Adaptive,5,21,0,No limits,Allow all,5:1 match,Disclose > $200
Adaptive,6,21,0,No limits,Allow all,5:1 match,Disclose > $200
Adaptive,7,21,0,No limits,Allow all,5:1 match,Disclose > $200
Adaptive,8,21,0,No limits,Allow all,5:1 match,Disclose > $200
Adaptive,9,21,0,No limits,Allow all,5:1 match,Disclose > $200
Adaptive,10,21,0,No limits,Allow all,5:1 match,Disclose > $200
Adaptive,0,22,0.005208333333333333,"100,000",Allow all,5:1 match,Disclose > $200
Adaptive,1,22,1e-5,"100,000",Allow all,5:1 match,Disclose > $200
Adaptive,2,22,0,"100,000",Allow all,5:1 match,Disclose > $200
Adaptive,3,22,8e-5,"100,000",Allow all,5:1 match,Disclose > $200
Adaptive,4,22,2e-5,"100,000",Allow all,5:1 match,Disclose > $200
Adaptive,5,22,1e-5,"100,000",Allow all,5:1 match,Disclose > $200
Adaptive,6,22,0,"100,000",Allow all,5:1 match,Disclose > $200
Adaptive,7,22,0,"100,000",Allow all,5:1 match,Disclose > $200
Adaptive,8,22,0,"100,000",Allow all,5:1 match,Disclose > $200
Adaptive,9,22,0,"100,000",Allow all,5:1 match,Disclose > $200
Adaptive,10,22,0,"100,000",Allow all,5:1 match,Disclose > $200
Adaptive,0,23,0.005208333333333333,"$1,000,000",Allow all,5:1 match,Disclose > $200
Adaptive,1,23,1e-5,"$1,000,000",Allow all,5:1 match,Disclose > $200
Adaptive,2,23,2e-5,"$1,000,000",Allow all,5:1 match,Disclose > $200
Adaptive,3,23,8.8e-4,"$1,000,000",Allow all,5:1 match,Disclose > $200
Adaptive,4,23,4e-5,"$1,000,000",Allow all,5:1 match,Disclose > $200
Adaptive,5,23,1.2e-4,"$1,000,000",Allow all,5:1 match,Disclose > $200
Adaptive,6,23,4e-5,"$1,000,000",Allow all,5:1 match,Disclose > $200
Adaptive,7,23,0,"$1,000,000",Allow all,5:1 match,Disclose > $200
Adaptive,8,23,0,"$1,000,000",Allow all,5:1 match,Disclose > $200
Adaptive,9,23,0,"$1,000,000",Allow all,5:1 match,Disclose > $200
Adaptive,10,23,0,"$1,000,000",Allow all,5:1 match,Disclose > $200
Adaptive,0,24,0.005208333333333333,"$10,000",Allow all,5:1 match,Disclose > $200
Adaptive,1,24,0,"$10,000",Allow all,5:1 match,Disclose > $200
Adaptive,2,24,0,"$10,000",Allow all,5:1 match,Disclose > $200
Adaptive,3,24,1.4e-4,"$10,000",Allow all,5:1 match,Disclose > $200
Adaptive,4,24,1e-5,"$10,000",Allow all,5:1 match,Disclose > $200
Adaptive,5,24,1e-4,"$10,000",Allow all,5:1 match,Disclose > $200
Adaptive,6,24,1e-5,"$10,000",Allow all,5:1 match,Disclose > $200
Adaptive,7,24,0,"$10,000",Allow all,5:1 match,Disclose > $200
Adaptive,8,24,0,"$10,000",Allow all,5:1 match,Disclose > $200
Adaptive,9,24,0,"$10,000",Allow all,5:1 match,Disclose > $200
Adaptive,10,24,0,"$10,000",Allow all,5:1 match,Disclose > $200
Adaptive,0,25,0.005208333333333333,No limits,Prohibit all,1:1 match,Disclose > $200
Adaptive,1,25,7.7e-4,No limits,Prohibit all,1:1 match,Disclose > $200
Adaptive,2,25,0.00137,No limits,Prohibit all,1:1 match,Disclose > $200
Adaptive,3,25,6.8e-4,No limits,Prohibit all,1:1 match,Disclose > $200
Adaptive,4,25,0.00252,No limits,Prohibit all,1:1 match,Disclose > $200
Adaptive,5,25,0.00167,No limits,Prohibit all,1:1 match,Disclose > $200
Adaptive,6,25,6e-5,No limits,Prohibit all,1:1 match,Disclose > $200
Adaptive,7,25,0,No limits,Prohibit all,1:1 match,Disclose > $200
Adaptive,8,25,0,No limits,Prohibit all,1:1 match,Disclose > $200
Adaptive,9,25,0,No limits,Prohibit all,1:1 match,Disclose > $200
Adaptive,10,25,0,No limits,Prohibit all,1:1 match,Disclose > $200
Adaptive,0,26,0.005208333333333333,"100,000",Prohibit all,1:1 match,Disclose > $200
Adaptive,1,26,8.4e-4,"100,000",Prohibit all,1:1 match,Disclose > $200
Adaptive,2,26,0.00236,"100,000",Prohibit all,1:1 match,Disclose > $200
Adaptive,3,26,0.00144,"100,000",Prohibit all,1:1 match,Disclose > $200
Adaptive,4,26,0.00301,"100,000",Prohibit all,1:1 match,Disclose > $200
Adaptive,5,26,0.00118,"100,000",Prohibit all,1:1 match,Disclose > $200
Adaptive,6,26,6.9e-4,"100,000",Prohibit all,1:1 match,Disclose > $200
Adaptive,7,26,4e-5,"100,000",Prohibit all,1:1 match,Disclose > $200
Adaptive,8,26,2e-5,"100,000",Prohibit all,1:1 match,Disclose > $200
Adaptive,9,26,7e-5,"100,000",Prohibit all,1:1 match,Disclose > $200
Adaptive,10,26,3.7e-4,"100,000",Prohibit all,1:1 match,Disclose > $200
Adaptive,0,27,0.005208333333333333,"$1,000,000",Prohibit all,1:1 match,Disclose > $200
Adaptive,1,27,0.03971,"$1,000,000",Prohibit all,1:1 match,Disclose > $200
Adaptive,2,27,0.00995,"$1,000,000",Prohibit all,1:1 match,Disclose > $200
Adaptive,3,27,0.00953,"$1,000,000",Prohibit all,1:1 match,Disclose > $200
Adaptive,4,27,0.01315,"$1,000,000",Prohibit all,1:1 match,Disclose > $200
Adaptive,5,27,0.01587,"$1,000,000",Prohibit all,1:1 match,Disclose > $200
Adaptive,6,27,0.00438,"$1,000,000",Prohibit all,1:1 match,Disclose > $200
Adaptive,7,27,1.1e-4,"$1,000,000",Prohibit all,1:1 match,Disclose > $200
Adaptive,8,27,7e-5,"$1,000,000",Prohibit all,1:1 match,Disclose > $200
Adaptive,9,27,1.7e-4,"$1,000,000",Prohibit all,1:1 match,Disclose > $200
Adaptive,10,27,7e-5,"$1,000,000",Prohibit all,1:1 match,Disclose > $200
Adaptive,0,28,0.005208333333333333,"$10,000",Prohibit all,1:1 match,Disclose > $200
