table_figure,algorithm,case,batches,best_arm_value,first_batch,statistic,value_paper
table_d3,Static,NA,NA,0.18,NA,correct,0.826
table_d3,Static,NA,NA,0.18,NA,rmse_best,0.029
table_d3,Static,NA,NA,0.18,NA,rmse_te,0.037
table_d3,Static,NA,NA,0.18,NA,cov_best,0.944
table_d3,Static,NA,NA,0.18,NA,cov_te,0.951
table_d3,Static,NA,NA,0.19,NA,correct,0.870
table_d3,Static,NA,NA,0.19,NA,rmse_best,0.030
table_d3,Static,NA,NA,0.19,NA,rmse_te,0.038
table_d3,Static,NA,NA,0.19,NA,cov_best,0.939
table_d3,Static,NA,NA,0.19,NA,cov_te,0.948
table_d3,Static,NA,NA,0.20,NA,correct,0.909
table_d3,Static,NA,NA,0.20,NA,rmse_best,0.031
table_d3,Static,NA,NA,0.20,NA,rmse_te,0.038
table_d3,Static,NA,NA,0.20,NA,cov_best,0.941
table_d3,Static,NA,NA,0.20,NA,cov_te,0.949
table_d3,CA,NA,NA,0.10,NA,correct,0.106
table_d3,CA,NA,NA,0.10,NA,rmse_best,0.037
table_d3,CA,NA,NA,0.10,NA,rmse_te,0.043
table_d3,CA,NA,NA,0.10,NA,cov_best,0.843
table_d3,CA,NA,NA,0.10,NA,cov_te,0.854
table_d3,CA,NA,NA,0.11,NA,correct,0.174
table_d3,CA,NA,NA,0.11,NA,rmse_best,0.034
table_d3,CA,NA,NA,0.11,NA,rmse_te,0.041
table_d3,CA,NA,NA,0.11,NA,cov_best,0.879
table_d3,CA,NA,NA,0.11,NA,cov_te,0.886
table_d3,CA,NA,NA,0.12,NA,correct,0.275
table_d3,CA,NA,NA,0.12,NA,rmse_best,0.033
table_d3,CA,NA,NA,0.12,NA,rmse_te,0.040
table_d3,CA,NA,NA,0.12,NA,cov_best,0.897
table_d3,CA,NA,NA,0.12,NA,cov_te,0.900
table_d3,CA,NA,NA,0.13,NA,correct,0.375
table_d3,CA,NA,NA,0.13,NA,rmse_best,0.032
table_d3,CA,NA,NA,0.13,NA,rmse_te,0.038
table_d3,CA,NA,NA,0.13,NA,cov_best,0.910
table_d3,CA,NA,NA,0.13,NA,cov_te,0.907
table_d3,CA,NA,NA,0.14,NA,correct,0.502
table_d3,CA,NA,NA,0.14,NA,rmse_best,0.030
table_d3,CA,NA,NA,0.14,NA,rmse_te,0.037
table_d3,CA,NA,NA,0.14,NA,cov_best,0.929
table_d3,CA,NA,NA,0.14,NA,cov_te,0.921
table_d3,CA,NA,NA,0.15,NA,correct,0.636
table_d3,CA,NA,NA,0.15,NA,rmse_best,0.028
table_d3,CA,NA,NA,0.15,NA,rmse_te,0.035
table_d3,CA,NA,NA,0.15,NA,cov_best,0.940
table_d3,CA,NA,NA,0.15,NA,cov_te,0.936
table_d3,CA,NA,NA,0.16,NA,correct,0.728
table_d3,CA,NA,NA,0.16,NA,rmse_best,0.027
table_d3,CA,NA,NA,0.16,NA,rmse_te,0.033
table_d3,CA,NA,NA,0.16,NA,cov_best,0.944
table_d3,CA,NA,NA,0.16,NA,cov_te,0.942
table_d3,CA,NA,NA,0.17,NA,correct,0.820
table_d3,CA,NA,NA,0.17,NA,rmse_best,0.026
table_d3,CA,NA,NA,0.17,NA,rmse_te,0.033
table_d3,CA,NA,NA,0.17,NA,cov_best,0.947
table_d3,CA,NA,NA,0.17,NA,cov_te,0.943
table_d3,CA,NA,NA,0.18,NA,correct,0.877
table_d3,CA,NA,NA,0.18,NA,rmse_best,0.025
table_d3,CA,NA,NA,0.18,NA,rmse_te,0.032
table_d3,CA,NA,NA,0.18,NA,cov_best,0.949
table_d3,CA,NA,NA,0.18,NA,cov_te,0.943
table_d3,CA,NA,NA,0.19,NA,correct,0.923
table_d3,CA,NA,NA,0.19,NA,rmse_best,0.024
table_d3,CA,NA,NA,0.19,NA,rmse_te,0.030
table_d3,CA,NA,NA,0.19,NA,cov_best,0.956
table_d3,CA,NA,NA,0.19,NA,cov_te,0.949
table_d3,CA,NA,NA,0.20,NA,correct,0.956
table_d3,CA,NA,NA,0.20,NA,rmse_best,0.023
table_d3,CA,NA,NA,0.20,NA,rmse_te,0.029
table_d3,CA,NA,NA,0.20,NA,cov_best,0.957
table_d3,CA,NA,NA,0.20,NA,cov_te,0.952
